	for_query	tweet	username	date	hashtags	likes	retweets	url
17	Blm George Floyd	Keith Ellison &amp; Ilhan Omar knew the torture George Floyd went through &amp; America witnessed would cause massive outrage across America, they had BLM &amp; Antifa ready to go, &amp; now the job is done &amp; he’s getting the police off. This was fixed! @DNI_Ratcliffe @RichardGrenell https://t.co/1zrBviUlSf	ddnifcins1	Thu Dec 10 18:27:03 +0000 2020	['BLM']	3	3	https://twitter.com/twitter/statuses/1337101538460897280
18	Blm George Floyd	‘Er ... um ... BLM is actually a Black Power movement from America and George Floyd was a criminal like Horst Wessel ... not a good look after all ... can we do something else ... like maybe ... “Springtime For Hitler” in drag before each game? That would be such fun ...’ https://t.co/XZigYme608	DubarryMichael	Sun Dec 13 22:11:27 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338245174242267138
0	Justice for George Floyd	@nomorefreebeer @gracesru Thanks for all you've done and all that you've continued to do. I think Covid-19 and George Floyd's murder opened a lot of America's eyes to racism, bigotry, criminal justice reform, and police brutality. Trump's behavior did as well along with the Summer protesters.	KeithGrant09	Tue Dec 15 05:30:00 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1338717926820634631
0	Justice system	systemic racism is very real &amp; america’s criminal justice system serves no typa justice 😋	lxnsa	Fri Dec 11 11:18:59 +0000 2020	['BLM']	7	0	https://twitter.com/twitter/statuses/1337356199985963008
1	Justice system	Rest in Peace Brandon Bernard. a flawed system has failed someone once again. racism is the foundation of america; there is no justice in the justice system. https://t.co/LYUI77X6UZ	iidkwhosheis	Fri Dec 11 04:27:33 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337252657027829760
2	Justice system	"@MezbhaK @PeteButtigieg With all do respect sir, this is not Saudi. We do not share the same ""eye for an eye"" ideology. We have a very broken justice system in America with a long history of racism and corruption. In short our justice system is not trustworthy to stake life on"	TheEdgeOfEmpire	Sat Dec 12 15:16:56 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337778467492909067
3	Justice system	America does not have a justice system, we have barbaric system of institutionalized racism and classism. There is no justice or humanity in it. Abolish the death penalty. Demand prison reform.	shakeandbakebb	Fri Dec 11 07:21:35 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337296456496066563
4	Justice system	and it's even more upsetting because of the blatant racism in the justice system in america. may he rest in peace and i hope one day there will be real justice in america and in the world.	yukikoinnit	Fri Dec 11 12:16:10 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337370589401657344
5	Justice system	@nytimes Justice in America where systemic racism is part of everything.	lprowan	Thu Dec 17 21:32:28 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1339684913625223168
6	Justice system	The white supremacist justice system in America. The double standard and racism in the justice system. Just look at the difference. One is a murderer and the other one we’re wrongly accused. https://t.co/GAbtGK3zdP	BlackdiasporaV1	Wed Dec 09 05:21:17 +0000 2020	['BLM']	30	14	https://twitter.com/twitter/statuses/1336541403988385793
7	Justice system	the justice system in america has continuously failed black people and systemic racism is so deeply rooted that i am terrified we are far from change https://t.co/FreXyJ0hiL	jaedonvilla	Fri Dec 11 02:49:49 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337228064997064706
8	Justice system	You can run from the truth but you can’t hide. America hates Black people. From Covid to the justice system we suffer under the rule of systemic racism	PUSHABRI	Fri Dec 11 03:43:52 +0000 2020	['BLM']	8	6	https://twitter.com/twitter/statuses/1337241664998547456
9	Justice system	The justice system is supposed to protect all of our citizens. Justice should not equal racism in a country that prides itself on “justice for all and everyone is equal” if that doesn’t give you a clue America is a horrible place, you are one of the reasons a man died tonight.	louuuehyouidiot	Fri Dec 11 03:07:21 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337232474540298242
10	Justice system	@Leolidaddu83 @twobitmedia1 It happened because of racism. Maybe not personal prejudice, but systemic racism. And because America’s justice system is sick and broken.	escaped_ferret	Fri Dec 11 13:59:31 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1337396599073411074
11	Justice system	@krustydavidd i don’t live in america but by everyone reacting to blm ,i’m concerned with the justice system	MoushiiiSimps	Fri Dec 11 01:39:10 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337210282976821248
12	Justice system	America's justice system is and was set for only whites and to kill off black people #BlackLivesMatter #Wearestopinghooligans https://t.co/Bmkjxt4P5Z	BrigadeNrm	Sat Dec 12 04:59:55 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337623194140778496
